Tracking No,PMB,consignee,AWB,Shipper,Store,Original Barcode,Description,status,status Date,Package Type,zone,career,weight,volumetricweight,express,aging,agingdollar,Original Barcode,Status,User,Date
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 03,2020 05:25"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 07:59"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 07:59"
,,,,,,,,Received in FLL,,,,,,,,,,askjd,Received in FLL,new user,"Sep 30,2020 11:47"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 18,2020 01:29"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 01:21"
,,,,,,,,No Invoice Present,,,,,,,,,,No tracking,No Invoice Present,admin 1,"Jan 12,2021 02:44"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 04:00"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 04:05"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 06:39"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 05,2021 09:23"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 03,2020 04:37"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 03:01"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:13"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No tracking,Loaded on AirCraft,new user,"Nov 17,2020 09:11"
,,,,,,,,In Transit,,,,,,,,,,0789456123,In Transit,admin 1,"Jun 24,2020 11:15"
,,,,,,,,In Warehouse Nassuau,,,,,,,,,,No Tracking,In Warehouse Nassuau,new user,"Nov 18,2020 07:50"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,1Z9AT3710340692238,Loaded on AirCraft,admin 1,"May 28,2020 11:28"
,,,,,,,,Received in FLL,,,,,,,,,,48110822,Received in FLL,new user,"Sep 30,2020 11:06"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:15"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,9000-100068-47,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,1Z9AT3710340692238,Loaded on AirCraft,admin 1,"Nov 26,2020 04:15"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 05:24"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 28,2021 02:44"
,,,,,,,,Removed from Flight FLL,,,,,,,,,,No tracking,Removed from Flight FLL,admin 1,"Dec 02,2020 06:45"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 07:42"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:57"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 03:26"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 05:59"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 05:39"
,,,,,,,,No Invoice Present,,,,,,,,,,No tracking,No Invoice Present,admin 1,"Dec 28,2020 02:08"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:13"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 05:13"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:13"
,,,,,,,,Assigned to cube,,,,,,,,,,No tracking,Assigned to cube,admin 1,"Dec 11,2020 07:34"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:15"
,,,,,,,,Recieved in NAS,,,,,,,,,,9000-100068-47,Recieved in NAS,admin 1,"Jun 29,2020 06:02"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,In Warehouse Nassuau,,,,,,,,,,No Tracking,In Warehouse Nassuau,new user,"Nov 18,2020 07:50"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No tracking,Loaded on AirCraft,new user,"Nov 06,2020 09:36"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 18,2021 01:50"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 05:41"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:58"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 03,2020 04:47"
,,,,,,,,Delivered to Store,,,,,,,,,,No tracking,Delivered to Store,admin 1,"Jan 05,2021 09:22"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,1Z9AT3710340692238,Loaded on AirCraft,admin 1,"Nov 26,2020 04:15"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 03:10"
,,,,,,,,In Transit,,,,,,,,,,No tracking,In Transit,admin 1,"Jan 05,2021 09:33"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:27"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 07:10"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,asdasdasd,Loaded on AirCraft,admin 1,"Nov 06,2020 09:39"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,9000-5ebbb9904cc2250011d91183-1589361040979,Received in FLL,admin 1,"Dec 14,2020 02:53"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 03,2020 05:25"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 02:54"
